予測	正解
D	D
D	D
D	D
D	D
D	D
D	D
D	D
D	D
D	D
D	D
D	D
D	D
D	D
D	D
D	D
A	D
D	D
D	D
D	D
D	D
D	D
D	D
D	D
D	D
D	D
D	D
D	D
D	D
D	D
D	D
D	D
D	D
D	D
D	D
D	D
D	D
D	D
D	D
D	D
D	D
D	D
D	D
D	D
D	D
D	D
D	D
D	D
D	D
D	D
D	D
D	D
D	D
D	D
D	D
D	D
D	D
D	D
D	D
D	D
D	D
C	D
D	D
D	D
D	D
D	D
D	D
D	D
D	D
D	D
D	D
D	D
D	D
D	D
D	D
D	D
D	D
D	D
D	D
D	D
D	D
D	D
Error	D
D	D
D	D
D	D
Error	D
Error	D
Error	D
D	D
Error	D
D	D
Error	D
Error	D
Error	D
Error	D
Error	D
D	D
D	D
Error	D
Error	D
Error	D
D	D
Error	D
Error	D
Error	D
Error	D
Error	D
Error	D
Error	D
D	D
Error	D
Error	D
Error	D
Error	D
Error	D
Error	D
Error	D
Error	D
Error	D
Error	D
Error	D
Error	D
Error	D
Error	D
D	D
Error	D
Error	D
Error	D
Error	D
Error	D
Error	D
Error	D
Error	D
Error	D
Error	D
Error	D
Error	D
Error	D
Error	D
Error	D
Error	D
Error	D
Error	D
Error	D
Error	D
Error	D
Error	D
Error	D
Error	D
Error	D
正解数: 89/150  正解率：59.33%
