予測	正解
D	D
D	D
D	D
A	D
D	D
D	D
D	D
D	D
D	D
A	D
D	D
D	D
D	D
D	D
D	D
B	D
D	D
D	D
D	D
A	D
D	D
D	D
D	D
D	D
D	D
D	D
D	D
D	D
D	D
D	D
D	D
D	D
C	D
D	D
B	D
D	D
D	D
D	D
D	D
D	D
D	D
D	D
D	D
D	D
D	D
B	D
D	D
D	D
D	D
D	D
D	D
B	D
A	D
D	D
D	D
D	D
D	D
D	D
D	D
D	D
B	D
D	D
D	D
D	D
D	D
C	D
A	D
D	D
D	D
D	D
D	D
D	D
D	D
D	D
D	D
D	D
D	D
D	D
D	D
D	D
D	D
D	D
D	D
D	D
D	D
A	D
A	D
D	D
D	D
D	D
B	D
D	D
D	D
D	D
D	D
D	D
D	D
D	D
D	D
D	D
D	D
D	D
D	D
D	D
D	D
D	D
D	D
D	D
D	D
D	D
A	D
D	D
D	D
D	D
D	D
D	D
D	D
D	D
D	D
D	D
D	D
D	D
D	D
D	D
D	D
D	D
D	D
D	D
D	D
D	D
D	D
C	D
D	D
D	D
D	D
D	D
D	D
D	D
D	D
D	D
D	D
D	D
D	D
D	D
D	D
D	D
D	D
D	D
D	D
D	D
正解数: 133/150  正解率：88.67%
